amfi_code,HHI
100016,1395.3385999999998
100033,1475.9226
101206,1293.3173000000002
101207,2007.0043
102885,1747.0902
102886,1146.9283999999998
102887,1298.0495
118632,1682.982
118633,1214.6086
118634,1083.5772
118635,1359.4415
119092,2064.4766999999997
119093,1308.9424000000001
119094,1364.0591
119095,1096.0535
119551,1187.1552
119552,1080.1068999999998
119598,1073.4895000000001
119599,1747.5096
120503,1408.7026
120504,1086.7415
120505,1575.7036
120506,1537.936
120841,1496.8035
120842,1274.3881
120843,1286.8306
125497,1365.8554
125498,1524.1398
148567,1385.8417
148568,1679.2973
148569,1493.9642000000001
149322,1343.9796999999999
149323,1416.2096
149324,1186.771
